id,name,type,source_pdf
84,森林病害流行与治理,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
85,果树病虫害防治图册（,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
86,果树病理学（,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
87,森林病理学研究,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
88,溃疡病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
89,森林病虫害预测预报管理办法,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
90,森林病虫害防治条例,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
91,落叶松落叶 病预测预报办法,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
92,落叶松枯梢病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
93,林木种实病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
94,林病害,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
95,林果病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
96,石榴溃疡病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
97,核桃基腐病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
98,园林植物病虫害防治,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
99,松材线虫病疫木加工板材定点,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
100,林病虫,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
101,重大病,Disease,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
102,抗病性,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
103,枯水期,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
104,枯落物,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
105,松材线虫病防治技术方案,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
106,林对病,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
107,防治病,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
108,浙江省松材线虫病防治办法,Disease,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
109,气候要素对天台松材线虫病疫情的影响 于天鸣,Disease,气候要素对天台松材线虫病疫情的影响.pdf
110,整片松林从发病到毁灭性死亡只需3,Disease,气候变化背景下松材线虫在中国分布的时空变化预测.pdf
111,changes and disease,Disease,气候变化背景下松材线虫在中国分布的时空变化预测.pdf
112,松材线虫,Pathogen,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
113,松褐天牛,Pathogen,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
114,线虫病原,Pathogen,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
115,松褐天牛种群,Pathogen,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
116,Bursaphelenchus xylophilus and,Pathogen,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
117,高瑞贺 松材线虫入侵对三峡库区马尾松林生态系统的影响 北京,Pathogen,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
118,lUS,Pathogen,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
119,松材线虫和媒介天牛幼虫共栖于病死松木中 在低温,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
120,松材线虫和媒介天牛幼虫共栖于病死松木中,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
121,松材线虫虫液倒入培养皿中培养产卵 松材线虫产卵后显微镜下观察,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
122,个松针中分离到松材线虫 这表明松材线虫可以通过松针进,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
123,松材线虫生活史,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
124,松材线虫分子自动化检测仪器,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
125,松材材线虫虫液,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
126,松材线虫起脱离,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
127,松材线虫转录组,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
128,松材线虫运动,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
129,松材线虫机体,Pathogen,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
130,为松材线虫创造了新的适宜生存区域 降水模式变化不,Pathogen,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
131,升高扩大了松材线虫适生区域 加速了松褐天牛繁殖,Pathogen,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
132,加速了松褐天牛繁殖 降水模式变化削弱了松树抗性,Pathogen,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
133,松材线虫生物学特性,Pathogen,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
134,线虫Bursaphelenchus,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
135,松褐天牛卵期,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
136,线虫率,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
137,松褐天牛虫道,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
138,lop,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
139,松褐天牛虫道内部观,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
140,松褐天牛羽化孔,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
141,松褐天牛蛹室,Pathogen,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
142,浙江松林生态系统对松材线虫入侵的抵御和恢复机制,Pathogen,松材线虫病疫情指数与气候因素之间的关系.pdf
143,Bursap,Pathogen,松材线虫病疫情指数与气候因素之间的关系.pdf
144,伴生细菌,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
145,拉汉英昆虫蜱螨蜘蛛线虫名称,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
146,植物根结线虫,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
147,内线虫,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
148,松材线虫全基因组测序,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
149,松材线虫SCAR 标记,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
150,松材线虫SCAR,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
151,松材 线虫特异,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
152,Insect pathogenic,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
153,线虫学,Pathogen,JItW6-1762148810582-中国森林保护学科发展历程研究_曾凡勇.pdf
154,松树线,Pathogen,XlZVN-1762148845443-浙江省松材线虫病环境影响经济评价与治理研究_李兰英.pdf
155,而在东北或西北分布较少 从松材线虫的分布可,Pathogen,气候要素对天台松材线虫病疫情的影响.pdf
156,气候变化背景下松材线虫在中国分布的 时空变化预测木,Pathogen,气候变化背景下松材线虫在中国分布的时空变化预测.pdf
157,Pine wood,Pathogen,气候变化背景下松材线虫在中国分布的时空变化预测.pdf
158,云南松,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
159,马尾松,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
160,松树,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
161,Pinus,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
162,油松,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
163,黑松,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
164,赤松,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
165,pine spectral absorption,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
166,korean pine spectral,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
167,pine 光谱范围 赤松敏感波段,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
168,features of pine,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
169,日本,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
170,马尾松光谱数据,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
171,松树且,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
172,Korean pine,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
173,pine (a),Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
174,Japanese pine,Host,ZGds6-1762148816090-松材线虫病害早期星-机-地遥感诊断光谱特征研究_李霓雯.pdf
175,华山松,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
176,杨树,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
177,果树林,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
178,云南,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
179,松树大苗,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
180,松林松,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
181,松树免,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
182,柳树(,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
183,杨树( Populus spp.,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
184,桃树,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
185,叶树种,Host,4ERGo-1762148839583-泰山松材线虫病、美国白蛾风险分析评估与预警技术研究_申卫星.pdf
186,马尾松林生,Host,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
187,病(pine,Host,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
188,马尾松Pinus,Host,基于灰色关联度分析气候因素对江西省松材线虫病的影响.pdf
189,日本黑松,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
190,old Pinus,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
191,松树挥,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
192,松纵坑,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
193,华松,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
194,松针表,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
195,松针进,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
196,松树针,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
197,松树枝,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
198,第5 天松材线,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
199,去掉松针,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
200,松材线转录组,Host,Pc5Bj-1762148820023-松材线虫病媒介天牛种类调查及其传播机制研究_王洋.pdf
201,湿地松,Host,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
202,降水模式变化削弱了松树抗性 改变了病原传播路径,Host,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
203,降水模式变化削弱了松树抗性,Host,气候变化对松材线虫病扩散风险的影响分析——以郁南县为例_雷志华.pdf
204,海岸松,Host,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
205,辐射松,Host,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
206,Northern limitof pine,Host,我国松材线虫病的扩散趋势及气候对疫情的影响研究_张潮.pdf
207,黄土高原蓖点水土流失区生态经 济犁乔木树种的区位环境适宜性,Host,气候要素对松材线虫病疫情的影响研究.pdf
208,influencing the pine,Host,气候要素对松材线虫病疫情的影响研究.pdf
209,松罨天,Host,气候要素对松材线虫病疫情的影响研究.pdf
210,李树怀,Host,气候要素对松材线虫病疫情的影响研究.pdf
211,第二章 马尾松蛀干害虫及其天敌调查,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
212,马尾,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
213,松上,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
214,马尾松林中制,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
215,马尾松林中松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
216,松瘤象,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
217,林间松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
218,马尾松树干,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
219,马尾松林郁闭度,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
220,马尾松韧皮部,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
221,松林,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
222,马尾松白斑角胫象Shirahoshizo,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
223,南美松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
224,南欧海松P.,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
225,琉球松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
226,白皮松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
227,松斑,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
228,林茂松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
229,萧山松林,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
230,松幽天,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
231,樟子松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
232,哈氏松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
233,马尾松蛀干,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
234,松褐 天,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
235,马尾松树气味,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
236,马尾松树松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
237,姚松,Host,JU3yc-1762148851602-马尾松蛀干害虫种群动态与松材线虫病的关系及松褐天牛天敌研究_展茂魁.pdf
